species,class
Hemiergis_initialis,reptiles
Hemiergis_millewae,reptiles
Hemiergis_quadrilineata,reptiles
Heteronotia_binoei,reptiles
Hipposideros_ater,mammals
Hipposideros_semoni,mammals
Hipposideros_stenotis,mammals
Hoplocephalus_bitorquatus,reptiles
Hydromys_chrysogaster,mammals
Hypsilurus_boydii,reptiles
Hypsilurus_spinipes,reptiles
Hypsiprymnodon_moschatus,mammals
Kerivoula_papuensis,mammals
Lagorchestes_conspicillatus,mammals
Lampropholis_adonis,reptiles
Lampropholis_caligula,reptiles
Lampropholis_coggeri,reptiles
Lampropholis_elongata,reptiles
Lepidodactylus_lugubris,reptiles
Lerista_allanae,reptiles
Lerista_allochira,reptiles
Lerista_ameles,reptiles
Lerista_amicorum,reptiles
Lerista_apoda,reptiles
Lerista_arenicola,reptiles
Lerista_axillaris,reptiles
Lerista_baynesi,reptiles
Lerista_borealis,reptiles
Lerista_bunglebungle,reptiles
Lerista_chordae,reptiles
Lerista_christinae,reptiles
Lerista_cinerea,reptiles
Lerista_clara,reptiles
Lerista_colliveri,reptiles
Lerista_connivens,reptiles
Lerista_desertorum,reptiles
Lerista_elongata,reptiles
Lerista_eupoda,reptiles
Lerista_flammicauda,reptiles
Lerista_fragilis,reptiles
Lerista_gascoynensis,reptiles
Lerista_gerrardii,reptiles
Lerista_griffini,reptiles
Lerista_haroldi,reptiles
Lerista_humphriesi,reptiles
Lerista_ingrami,reptiles
Lerista_ips,reptiles
Lerista_jacksoni,reptiles
Lerista_kalumburu,reptiles
Lerista_kendricki,reptiles
Lerista_kennedyensis,reptiles
Lerista_kingi,reptiles
Lerista_lineata,reptiles
Lerista_micra,reptiles
Lerista_microtis,reptiles
Lerista_neander,reptiles
Lerista_nevinae,reptiles
Lerista_nichollsi,reptiles
Lerista_occulta,reptiles
Lerista_onsloviana,reptiles
Lerista_petersoni,reptiles
Lerista_praefrontalis,reptiles
Lerista_praepedita,reptiles
Lerista_puncticauda,reptiles
Lerista_quadrivincula,reptiles
Lerista_robusta,reptiles
Lerista_rochfordensis,reptiles
Lerista_rolfei,reptiles
Lerista_separanda,reptiles
Lerista_simillima,reptiles
Lerista_stictopleura,reptiles
Lerista_storri,reptiles
Lerista_timida,reptiles
Lerista_tridactyla,reptiles
Lerista_varia,reptiles
Lerista_verhmens,reptiles
Lerista_vermicularis,reptiles
Lerista_viduata,reptiles
Lerista_vittata,reptiles
Lerista_walkeri,reptiles
Lerista_wilkinsi,reptiles
Lerista_yuna,reptiles
Lerista_zietzi,reptiles
Lerista_zonulata,reptiles
Lialis_burtonis,reptiles
Liasis_fuscus,reptiles
Liburnascincus_scirtetis,reptiles
Limnodynastes_depressus,amphibians
Limnodynastes_fletcheri,amphibians
Limnodynastes_interioris,amphibians
Limnodynastes_lignarius,amphibians
Limnodynastes_tasmaniensis,amphibians
Limnodynastes_terraereginae,amphibians
Liopholis_guthega,reptiles
Liopholis_modesta,reptiles
Liopholis_montana,reptiles
Liopholis_multiscutata,reptiles
Liopholis_whitii,reptiles
Lissolepis_coventryi,reptiles
Litoria_brevipalmata,amphibians
Litoria_burrowsae,amphibians
Litoria_cooloolensis,amphibians
Litoria_coplandi,amphibians
Litoria_cryptotis,amphibians
Litoria_dahlii,amphibians
Litoria_daviesae,amphibians
Litoria_dayi,amphibians
Litoria_dorsalis,amphibians
Litoria_eucnemis,amphibians
Litoria_fallax,amphibians
Litoria_freycineti,amphibians
Litoria_genimaculata,amphibians
Litoria_inermis,amphibians
Litoria_littlejohni,amphibians
Litoria_maculosa,amphibians
Litoria_maini,amphibians
Litoria_meiriana,amphibians
Litoria_microbelos,amphibians
Litoria_nasuta,amphibians
Litoria_novaehollandiae,amphibians
Litoria_nudidigita,amphibians
Litoria_olongburensis,amphibians
Litoria_paraewingi,amphibians
Litoria_pearsoniana,amphibians
Litoria_piperata,amphibians
Litoria_platycephala,amphibians
Litoria_revelata,amphibians
Litoria_rheocola,amphibians
Litoria_spenceri,amphibians
Litoria_splendida,amphibians
Litoria_subglandulosa,amphibians
Litoria_watjulumensis,amphibians
Litoria_wilcoxii,amphibians
Litoria_xanthomera,amphibians
Lophognathus_burnsi,reptiles
Lucasium_bungabinna,reptiles
Lucasium_occultum,reptiles
Lucasium_squarrosum,reptiles
Lygisaurus_aeratus,reptiles
Lygisaurus_laevis,reptiles
Lygisaurus_sesbrauna,reptiles
Macropus_bernardus,mammals
Macropus_parryi,mammals
Macropus_robustus,mammals
Melomys_capensis,mammals
Menetia_greyii,reptiles
Menetia_maini,reptiles
Mesembriomys_gouldii,mammals
Miniopterus_australis,mammals
Mixophyes_balbus,amphibians
Mixophyes_fleayi,amphibians
Mixophyes_iteratus,amphibians
Mixophyes_schevilli,amphibians
Morelia_oenpelliensis,reptiles
Morelia_spilota,reptiles
Morelia_viridis,reptiles
Morethia_ruficauda,reptiles
Morethia_storri,reptiles
Morethia_taeniopleura,reptiles
Mus_musculus,mammals
Myotis_macropus,mammals
Nactus_cheverti,reptiles
Nactus_eboracensis,reptiles
Nactus_galgajuga,reptiles
Neelaps_calonotus,reptiles
Neobatrachus_sutor,amphibians
Nephrurus_deleani,reptiles
Nephrurus_stellatus,reptiles
Ningaui_ridei,mammals
Niveoscincus_greeni,reptiles
Niveoscincus_microlepidotus,reptiles
Niveoscincus_ocellatus,reptiles
Niveoscincus_orocryptus,reptiles
Niveoscincus_pretiosus,reptiles
Notomys_aquilo,mammals
Notoryctes_typhlops,mammals
Notoscincus_ornatus,reptiles
Nyctimystes_dayi,amphibians
Nyctophilus_arnhemensis,mammals
Nyctophilus_geoffroyi,mammals
Nyctophilus_sherrini,mammals
Nyctophilus_timoriensis,mammals
Oedura_gemmata,reptiles
Oedura_monilis,reptiles
Onychogalea_fraenata,mammals
Ophidiocephalus_taeniatus,reptiles
Ophioscincus_truncatus,reptiles
Ornithorhynchus_anatinus,mammals
Oxyuranus_microlepidotus,reptiles
Parasuta_flagellum,reptiles
Parasuta_gouldii,reptiles
Petaurus_australis,mammals
Petaurus_breviceps,mammals
Petaurus_norfolcensis,mammals
Petrogale_coenensis,mammals
Petrogale_concinna,mammals
Petrogale_herberti,mammals
Petrogale_lateralis,mammals
Petrogale_persephone,mammals
Petrogale_purpureicollis,mammals
Petrogale_sharmani,mammals
Petropseudes_dahli,mammals
Phascogale_pirata,mammals
Phascogale_tapoatafa,mammals
Philoria_frosti,amphibians
Philoria_kundagungan,amphibians
Philoria_loveridgei,amphibians
Philoria_pughi,amphibians
Philoria_richmondensis,amphibians
Philoria_sphagnicolus,amphibians
Phyllurus_caudiannulatus,reptiles
Pipistrellus_westralis,mammals
Pogona_henrylawsoni,reptiles
Pogona_mitchelli,reptiles
Pogona_nullarbor,reptiles
Proablepharus_kinghorni,reptiles
Proablepharus_reginae,reptiles
Proablepharus_tenuis,reptiles
Pseudantechinus_bilarni,mammals
Pseudantechinus_mimulus,mammals
Pseudantechinus_ningbing,mammals
Pseudechis_australis,reptiles
Pseudechis_guttatus,reptiles
Pseudemoia_baudini,reptiles
Pseudemoia_cryodroma,reptiles
Pseudemoia_pagenstecheri,reptiles
Pseudemoia_rawlinsoni,reptiles
Pseudemoia_spenceri,reptiles
Pseudomys_bolami,mammals
Pseudomys_calabyi,mammals
Pseudomys_fumeus,mammals
Pseudomys_fuscus,mammals
Pseudomys_hermannsburgensis,mammals
Pseudomys_higginsi,mammals
Pseudomys_novaehollandiae,mammals
Pseudomys_oralis,mammals
Pseudomys_pilligaensis,mammals
Pseudonaja_affinis,reptiles
Pseudonaja_inframacula,reptiles
Pseudonaja_ingrami,reptiles
Pseudophryne_guentheri,amphibians
Pseudophryne_major,amphibians
Pseudophryne_pengilleyi,amphibians
Pseudothecadactylus_australis,reptiles
Pteropus_scapulatus,mammals
Pygopus_schraderi,reptiles
Pygopus_steelescotti,reptiles
Ramphotyphlops_bicolor,reptiles
Ramphotyphlops_diversus,reptiles
Ramphotyphlops_grypus,reptiles
Ramphotyphlops_kimberleyensis,reptiles
Ramphotyphlops_ligatus,reptiles
Ramphotyphlops_tovelli,reptiles
Rana_daemeli,amphibians
Rattus_exulans,mammals
Rattus_fuscipes,mammals
Rheobatrachus_silus,amphibians
Rhinolophus_philippinensis,mammals
Rhinoplocephalus_nigrescens,reptiles
Rhinoplocephalus_nigrostriatus,reptiles
Saccolaimus_flaviventris,mammals
Saproscincus_basiliscus,reptiles
Saproscincus_czechurai,reptiles
Saproscincus_oriarus,reptiles
Saproscincus_rosei,reptiles
Saproscincus_spectabilis,reptiles
Saproscincus_tetradactylus,reptiles
Scoteanax_rueppellii,mammals
Scotorepens_greyii,mammals
Scotorepens_sanborni,mammals
Simoselaps_anomalus,reptiles
Simoselaps_roperi,reptiles
Simoselaps_semifasciatus,reptiles
Sminthopsis_aitkeni,mammals
Sminthopsis_bindi,mammals
Sminthopsis_butleri,mammals
Sminthopsis_crassicaudata,mammals
Sminthopsis_gilberti,mammals
Sminthopsis_hirtipes,mammals
Sminthopsis_leucopus,mammals
Sminthopsis_longicaudata,mammals
Sminthopsis_psammophila,mammals
Sminthopsis_virginiae,mammals
Strophurus_ciliaris,reptiles
Strophurus_elderi,reptiles
Strophurus_jeanae,reptiles
Strophurus_krisalys,reptiles
Strophurus_robinsoni,reptiles
Strophurus_taeniatus,reptiles
Suta_flagellum,reptiles
Tachyglossus_aculeatus,mammals
Taphozous_hilli,mammals
Taphozous_kapalgensis,mammals
Taudactylus_diurnus,amphibians
Taudactylus_eungellensis,amphibians
Taudactylus_rheophilus,amphibians
Thylogale_stigmatica,mammals
Tiliqua_adelaidensis,reptiles
Tiliqua_multifasciata,reptiles
Tiliqua_occipitalis,reptiles
Tiliqua_rugosa,reptiles
Tiliqua_scincoides,reptiles
Trichosurus_cunninghami,mammals
Tympanocryptis_houstoni,reptiles
Tympanocryptis_pinguicolla,reptiles
Tympanocryptis_tetraporophora,reptiles
Uperoleia_altissima,amphibians
Uperoleia_daviesae,amphibians
Uperoleia_fusca,amphibians
Uperoleia_lithomoda,amphibians
Uperoleia_littlejohni,amphibians
Uperoleia_martini,amphibians
Uperoleia_mimula,amphibians
Uperoleia_mjobergii,amphibians
Uperoleia_tyleri,amphibians
Varanus_baritji,reptiles
Varanus_brevicauda,reptiles
Varanus_caudolineatus,reptiles
Varanus_eremius,reptiles
Varanus_giganteus,reptiles
Varanus_glebopalma,reptiles
Varanus_gouldii,reptiles
Varanus_indicus,reptiles
Varanus_rosenbergi,reptiles
Varanus_spenceri,reptiles
Varanus_storri,reptiles
Varanus_tristis,reptiles
Vespadelus_baverstocki,mammals
Vespadelus_douglasorum,mammals
Vespadelus_troughtoni,mammals
Vulpes_vulpes,mammals
Wallabia_bicolor,mammals
Xeromys_myoides,mammals
Zyzomys_maini,mammals
Zyzomys_pedunculatus,mammals
Acanthophis_antarcticus,reptiles
Acanthophis_pyrrhus,reptiles
Acrobates_pygmaeus,mammals
Adelotus_brevis,amphibians
Amphibolurus_muricatus,reptiles
Amphibolurus_nobbi,reptiles
Anomalopus_leuckartii,reptiles
Anomalopus_swansoni,reptiles
Anomalopus_verreauxii,reptiles
Antaresia_maculosa,reptiles
Antechinomys_laniger,mammals
Antechinus_flavipes,mammals
Antechinus_godmani,mammals
Antechinus_leo,mammals
Aprasia_aurita,reptiles
Aprasia_inaurita,reptiles
Aprasia_pseudopulchella,reptiles
Austrelaps_ramsayi,reptiles
Bettongia_lesueur,mammals
Bettongia_penicillata,mammals
Brachyurophis_fasciolatus,reptiles
Brachyurophis_roperi,reptiles
Cacophis_harriettae,reptiles
Cacophis_krefftii,reptiles
Cacophis_squamulosus,reptiles
Carlia_amax,reptiles
Carlia_johnstonei,reptiles
Carlia_pectoralis,reptiles
Carlia_rubrigularis,reptiles
Carlia_rufilatus,reptiles
Carlia_schmeltzii,reptiles
Carlia_storri,reptiles
Carlia_triacantha,reptiles
Chaerephon_jobensis,mammals
Chalinolobus_dwyeri,mammals
Chalinolobus_picatus,mammals
Chlamydosaurus_kingii,reptiles
Christinus_marmoratus,reptiles
Cophixalus_bombiens,amphibians
Crinia_bilingua,amphibians
Crinia_deserticola,amphibians
Crinia_georgiana,amphibians
Crinia_insignifera,amphibians
Crinia_signifera,amphibians
Cryptoblepharus_australis,reptiles
Cryptoblepharus_litoralis,reptiles
Cryptoblepharus_metallicus,reptiles
Cryptoblepharus_ochrus,reptiles
Cryptoblepharus_plagiocephalus,reptiles
Cryptoblepharus_virgatus,reptiles
Ctenophorus_caudicinctus,reptiles
Ctenophorus_femoralis,reptiles
Ctenophorus_fordi,reptiles
Ctenophorus_nuchalis,reptiles
Ctenophorus_parviceps,reptiles
Ctenophorus_pictus,reptiles
Ctenophorus_reticulatus,reptiles
Ctenophorus_rufescens,reptiles
Ctenotus_alacer,reptiles
Ctenotus_brooksi,reptiles
Ctenotus_eurydice,reptiles
Ctenotus_grandis,reptiles
Ctenotus_rimacolus,reptiles
Ctenotus_robustus,reptiles
Ctenotus_saxatilis,reptiles
Ctenotus_schevilli,reptiles
Ctenotus_schomburgkii,reptiles
Ctenotus_spaldingi,reptiles
Ctenotus_strauchii,reptiles
Cyclorana_australis,amphibians
Cyclorana_cultripes,amphibians
Cyclorana_platycephala,amphibians
Cyrtodactylus_tuberculatus,reptiles
Dasycercus_cristicauda,mammals
Dasyurus_geoffroii,mammals
Dasyurus_hallucatus,mammals
Dasyurus_maculatus,mammals
Delma_australis,reptiles
Delma_inornata,reptiles
Delma_molleri,reptiles
Delma_petersoni,reptiles
Demansia_papuensis,reptiles
Demansia_psammophis,reptiles
Demansia_quaesitor,reptiles
Demansia_rimicola,reptiles
Demansia_simplex,reptiles
Demansia_torquata,reptiles
Dendrelaphis_calligastra,reptiles
Dendrelaphis_punctulatus,reptiles
Dendrolagus_lumholtzi,mammals
Diplodactylus_damaeum,reptiles
Diplodactylus_furcosus,reptiles
Diporiphora_arnhemica,reptiles
Diporiphora_bennettii,reptiles
Diporiphora_lalliae,reptiles
Diporiphora_magna,reptiles
Diporiphora_winneckei,reptiles
Drysdalia_coronoides,reptiles
Drysdalia_mastersii,reptiles
Drysdalia_rhodogaster,reptiles
Echiopsis_curta,reptiles
Egernia_cunninghami,reptiles
Egernia_mcpheei,reptiles
Egernia_richardi,reptiles
Egernia_stokesii,reptiles
Egernia_striolata,reptiles
Egernia_whitii,reptiles
Emoia_atrocostata,reptiles
Eremiascincus_fasciolatus,reptiles
Eulamprus_martini,reptiles
Eulamprus_quoyii,reptiles
Furina_diadema,reptiles
Furina_ornata,reptiles
Furina_tristis,reptiles
Gehyra_australis,reptiles
Gehyra_dubia,reptiles
Gehyra_nana,reptiles
Gehyra_occidentalis,reptiles
Gehyra_pamela,reptiles
Gehyra_purpurascens,reptiles
Gehyra_robusta,reptiles
Gehyra_variegata,reptiles
Glaphyromorphus_crassicaudus,reptiles
Glaphyromorphus_nigricaudis,reptiles
Glaphyromorphus_pardalis,reptiles
Glaphyromorphus_punctulatus,reptiles
Gnypetoscincus_queenslandiae,reptiles
Heleioporus_australiacus,amphibians
Heleioporus_eyrei,amphibians
Hemiaspis_signata,reptiles
Hemibelideus_lemuroides,mammals
Hemiergis_peronii,reptiles
Heteronotia_planiceps,reptiles
Hipposideros_cervinus,mammals
Hoplocephalus_bungaroides,reptiles
Hoplocephalus_stephensii,reptiles
Isoodon_auratus,mammals
Isoodon_macrourus,mammals
Isoodon_obesulus,mammals
Lagorchestes_hirsutus,mammals
Lampropholis_amicula,reptiles
Lampropholis_guichenoti,reptiles
Leggadina_forresti,mammals
Leggadina_lakedownensis,mammals
Lerista_carpentariae,reptiles
Lerista_distinguenda,reptiles
Lerista_frosti,reptiles
Lerista_greeri,reptiles
Lerista_karlschmidti,reptiles
Lerista_labialis,reptiles
Lerista_lineopunctulata,reptiles
Lerista_muelleri,reptiles
Lerista_picturata,reptiles
Lerista_planiventralis,reptiles
Lerista_punctatovittata,reptiles
Lerista_speciosa,reptiles
Lerista_stylis,reptiles
Liasis_olivaceus,reptiles
Limnodynastes_convexiusculus,amphibians
Limnodynastes_dumerilii,amphibians
Limnodynastes_ornatus,amphibians
Limnodynastes_peronii,amphibians
