species,class
Vermicella_multifasciata,reptiles
Vespadelus_caurinus,mammals
Vespadelus_finlaysoni,mammals
Vespadelus_pumilus,mammals
Vespadelus_regulus,mammals
Vespadelus_vulturnus,mammals
Vombatus_ursinus,mammals
Zyzomys_argurus,mammals
Zyzomys_palatalis,mammals
Egernia_depressa,reptiles
Egernia_formosa,reptiles
Litoria_australis,amphibians
Onychogalea_lunata,mammals
Carlia_tetradactyla,reptiles
Diplodactylus_conspicillatus,reptiles
Harrisoniascincus_zia,reptiles
Oedura_castelnaui,reptiles
Ramphotyphlops_endoterus,reptiles
Aepyprymnus_rufescens,mammals
Antechinus_agilis,mammals
Aspidites_melanocephalus,reptiles
Austrelaps_superbus,reptiles
Bettongia_gaimardi,mammals
Crinia_glauerti,amphibians
Cryptophis_boschmai,reptiles
Cryptophis_pallidiceps,reptiles
Ctenophorus_maculatus,reptiles
Ctenophorus_ornatus,reptiles
Ctenophorus_scutulatus,reptiles
Ctenotus_colletti,reptiles
Ctenotus_essingtonii,reptiles
Ctenotus_fallens,reptiles
Ctenotus_impar,reptiles
Ctenotus_labillardieri,reptiles
Ctenotus_orientalis,reptiles
Ctenotus_taeniolatus,reptiles
Ctenotus_uber,reptiles
Cyclorana_novaehollandiae,amphibians
Dasyuroides_byrnei,mammals
Dasyurus_viverrinus,mammals
Delma_fraseri,reptiles
Demansia_olivacea,reptiles
Diplodactylus_granariensis,reptiles
Diplodactylus_vittatus,reptiles
Drysdalia_coronata,reptiles
Egernia_kingii,reptiles
Eulamprus_heatwolei,reptiles
Eulamprus_tenuis,reptiles
Falsistrellus_tasmaniensis,mammals
Gehyra_borroloola,reptiles
Gehyra_minuta,reptiles
Gehyra_punctata,reptiles
Geocrinia_victoriana,amphibians
Hemiaspis_damelii,reptiles
Heteronotia_spelea,reptiles
Hipposideros_diadema,mammals
Lechriodus_fletcheri,amphibians
Lerista_aericeps,reptiles
Lerista_bipes,reptiles
Lerista_bougainvillii,reptiles
Lerista_dorsalis,reptiles
Lerista_edwardsae,reptiles
Lerista_elegans,reptiles
Lerista_emmotti,reptiles
Lerista_macropisthopus,reptiles
Lerista_terdigitata,reptiles
Lerista_uniduo,reptiles
Lerista_xanthura,reptiles
Limnodynastes_dorsalis,amphibians
Liopholis_margaretae,reptiles
Liopholis_slateri,reptiles
Litoria_booroolongensis,amphibians
Litoria_castanea,amphibians
Litoria_gracilenta,amphibians
Litoria_infrafrenata,amphibians
Litoria_jervisiensis,amphibians
Litoria_nannotis,amphibians
Litoria_phyllochroa,amphibians
Litoria_raniformis,amphibians
Litoria_rubella,amphibians
Litoria_tornieri,amphibians
Litoria_tyleri,amphibians
Lophognathus_gilberti,reptiles
Lophognathus_longirostris,reptiles
Lucasium_maini,reptiles
Lucasium_steindachneri,reptiles
Macroderma_gigas,mammals
Macroglossus_minimus,mammals
Macropus_eugenii,mammals
Macropus_giganteus,mammals
Macropus_parma,mammals
Melomys_cervinipes,mammals
Mesembriomys_macrurus,mammals
Morelia_amethistina,reptiles
Morethia_butleri,reptiles
Morethia_lineoocellata,reptiles
Mormopterus_beccarii,mammals
Neelaps_bimaculatus,reptiles
Neobatrachus_centralis,amphibians
Neobatrachus_pelobatoides,amphibians
Nephrurus_asper,reptiles
Nephrurus_vertebralis,reptiles
Nephrurus_wheeleri,reptiles
Niveoscincus_coventryi,reptiles
Niveoscincus_metallicus,reptiles
Notomys_alexis,mammals
Nyctophilus_bifax,mammals
Nyctophilus_major,mammals
Oedura_gracilis,reptiles
Oxyuranus_scutellatus,reptiles
Parasuta_dwyeri,reptiles
Parasuta_monachus,reptiles
Parasuta_spectabilis,reptiles
Perameles_gunnii,mammals
Perameles_nasuta,mammals
Petrogale_penicillata,mammals
Petrogale_rothschildi,mammals
Petrogale_xanthopus,mammals
Phascogale_calura,mammals
Planigale_ingrami,mammals
Potorous_tridactylus,mammals
Pseudemoia_entrecasteauxii,reptiles
Pseudomys_apodemoides,mammals
Pseudomys_desertor,mammals
Pseudomys_johnsoni,mammals
Pseudomys_occidentalis,mammals
Pseudonaja_guttata,reptiles
Pseudonaja_modesta,reptiles
Pseudonaja_textilis,reptiles
Pseudophryne_australis,amphibians
Pseudophryne_bibronii,amphibians
Pseudophryne_coriacea,amphibians
Pseudophryne_dendyi,amphibians
Pseudophryne_occidentalis,amphibians
Pseudophryne_semimarmorata,amphibians
Pseudothecadactylus_lindneri,reptiles
Pteropus_alecto,mammals
Pygopus_lepidopodus,reptiles
Pygopus_nigriceps,reptiles
Ramphotyphlops_australis,reptiles
Ramphotyphlops_waitii,reptiles
Rankinia_diemensis,reptiles
Rattus_sordidus,mammals
Rhinella_marina,amphibians
Rhinolophus_megaphyllus,mammals
Rhinonicteris_aurantia,mammals
Saiphos_equalis,reptiles
Sarcophilus_harrisii,mammals
Setonix_brachyurus,mammals
Sminthopsis_griseoventer,mammals
Sminthopsis_murina,mammals
Sminthopsis_youngsoni,mammals
Stegonotus_cucullatus,reptiles
Suta_dwyeri,reptiles
Suta_nigriceps,reptiles
Suta_spectabilis,reptiles
Taphozous_australis,mammals
Taudactylus_acutirostris,amphibians
Thylogale_billardierii,mammals
Tropidechis_carinatus,reptiles
Tympanocryptis_centralis,reptiles
Tympanocryptis_cephalus,reptiles
Tympanocryptis_intima,reptiles
Tympanocryptis_uniformis,reptiles
Uperoleia_capitulata,amphibians
Uromys_caudimaculatus,mammals
Varanus_mitchelli,reptiles
Varanus_panoptes,reptiles
Vermicella_vermiformis,reptiles
Vespadelus_darlingtoni,mammals
Zyzomys_woodwardi,mammals
Antechinus_stuartii,mammals
Crinia_tinnula,amphibians
Cryptoblepharus_pannosus,reptiles
Cryptoblepharus_pulcher,reptiles
Ctenophorus_decresii,reptiles
Ctenophorus_fionni,reptiles
Ctenophorus_mckenziei,reptiles
Ctenotus_brevipes,reptiles
Ctenotus_ingrami,reptiles
Ctenotus_regius,reptiles
Ctenotus_taeniatus,reptiles
Ctenotus_tantillus,reptiles
Dactylopsila_trivirgata,mammals
Diporiphora_australis,reptiles
Diporiphora_bilineata,reptiles
Egernia_hosmeri,reptiles
Egernia_saxatilis,reptiles
Hemidactylus_frenatus,reptiles
Hemiergis_decresiensis,reptiles
Lampropholis_delicata,reptiles
Lasiorhinus_latifrons,mammals
Lerista_orientalis,reptiles
Litoria_caerulea,amphibians
Petrogale_mareeba,mammals
Pseudocheirus_peregrinus,mammals
Ramphotyphlops_nigrescens,reptiles
Ramphotyphlops_unguirostris,reptiles
Saproscincus_mustelinus,reptiles
Varanus_scalaris,reptiles
Notomys_amplus,mammals
