LSID	URI	Title	Year	Date Published	Citation	ContainedIn	Edition	ShortTitle	Publisher
urn:lsid:biodiversity.org.au:apni.publication:102223	http://biodiversity.org.au/apni.publication/102223	Jacquin, N.J. von, Collectanea. 1786-1796.		1786-1796	Jacquin, N.J. von, Collectanea. 1786-1796.			Collectanea	
urn:lsid:biodiversity.org.au:apni.publication:102290	http://biodiversity.org.au/apni.publication/102290	Herbertia 11. (1946).		(1946)	Herbertia 11. (1946).				
urn:lsid:biodiversity.org.au:apni.publication:102300	http://biodiversity.org.au/apni.publication/102300	Annales Musei Goulandris. (1978).		(1978)	Annales Musei Goulandris. (1978).				
urn:lsid:biodiversity.org.au:apni.publication:102301	http://biodiversity.org.au/apni.publication/102301	Gemeinn~ytziges Hanbuch der Gew~uchskunde ed. 2, 1. (Dec. 1827).		(Dec. 1827)	Gemeinn~ytziges Hanbuch der Gew~uchskunde ed. 2, 1. (Dec. 1827).				
urn:lsid:biodiversity.org.au:apni.publication:102305	http://biodiversity.org.au/apni.publication/102305	George, A.S., Flora of Australia. 1987.		1987	George, A.S., Flora of Australia. 1987.				AGPS
urn:lsid:biodiversity.org.au:apni.publication:102392	http://biodiversity.org.au/apni.publication/102392	Cirillo, D.M.L., Plantarum Rariorum regni Neapolitani. 1788-1792.		1788-1792	Cirillo, D.M.L., Plantarum Rariorum regni Neapolitani. 1788-1792.				
urn:lsid:biodiversity.org.au:apni.publication:102403	http://biodiversity.org.au/apni.publication/102403	Bulletin de la Societe Philomatique. Paris. (Oct. 1793).		(Oct. 1793)	Bulletin de la Societe Philomatique. Paris. (Oct. 1793).				
urn:lsid:biodiversity.org.au:apni.publication:102411	http://biodiversity.org.au/apni.publication/102411	Revis. Allium in Africa. (1977).		(1977)	Revis. Allium in Africa. (1977).				
urn:lsid:biodiversity.org.au:apni.publication:102476	http://biodiversity.org.au/apni.publication/102476	Watsonia. 1949/50-.		1949/50-	Watsonia. 1949/50-.				Botanical Society of the British Isles
urn:lsid:biodiversity.org.au:apni.publication:102499	http://biodiversity.org.au/apni.publication/102499	Stirpae Novae aut Minus Cognitae. (Mar. 1788).		(Mar. 1788)	Stirpae Novae aut Minus Cognitae. (Mar. 1788).				
urn:lsid:biodiversity.org.au:apni.publication:102651	http://biodiversity.org.au/apni.publication/102651	New South Wales Magazine. Aug. 1833.		Aug. 1833	New South Wales Magazine. Aug. 1833.				
urn:lsid:biodiversity.org.au:apni.publication:102697	http://biodiversity.org.au/apni.publication/102697	Erythea 3. (1 Apr. 1895).		(1 Apr. 1895)	Erythea 3. (1 Apr. 1895).				
urn:lsid:biodiversity.org.au:apni.publication:102736	http://biodiversity.org.au/apni.publication/102736	Flore Generale de L'Indo-Chine. Jan. 1923.		Jan. 1923	Flore Generale de L'Indo-Chine. Jan. 1923.				
urn:lsid:biodiversity.org.au:apni.publication:102983	http://biodiversity.org.au/apni.publication/102983	George, A.S., Flora of Australia. 1989.		1989	George, A.S., Flora of Australia. 1989.				AGPS
urn:lsid:biodiversity.org.au:apni.publication:103027	http://biodiversity.org.au/apni.publication/103027	Flora Delphinalis. 1785.		1785	Flora Delphinalis. 1785.				
urn:lsid:biodiversity.org.au:apni.publication:103074	http://biodiversity.org.au/apni.publication/103074	Gleditsch, J.G., Systema Plantarum. 1764.		1764	Gleditsch, J.G., Systema Plantarum. 1764.				Haude et Spener
urn:lsid:biodiversity.org.au:apni.publication:103088	http://biodiversity.org.au/apni.publication/103088	Rumphius 3. (1847).		(1847)	Rumphius 3. (1847).				
urn:lsid:biodiversity.org.au:apni.publication:103174	http://biodiversity.org.au/apni.publication/103174	Webbia; raccolta di scritti botanici. 1905+.		1905+	Webbia; raccolta di scritti botanici. 1905+.			Webbia	
urn:lsid:biodiversity.org.au:apni.publication:103179	http://biodiversity.org.au/apni.publication/103179	Ruiz Lopez, H. & Pavon, J.A., Flora Peruvianae, et Chilensis. 1798-1802.		1798-1802	Ruiz Lopez, H. & Pavon, J.A., Flora Peruvianae, et Chilensis. 1798-1802.				
urn:lsid:biodiversity.org.au:apni.publication:107083	http://biodiversity.org.au/apni.publication/107083	Nova Acta Regiae Societatis Scientiarum Upsaliensis ser. 2, 6. (1799).		(1799)	Nova Acta Regiae Societatis Scientiarum Upsaliensis ser. 2, 6. (1799).				
urn:lsid:biodiversity.org.au:apni.publication:107183	http://biodiversity.org.au/apni.publication/107183	Forster, P.I., Hoya in Australia. 1986.		1986	Forster, P.I., Hoya in Australia. 1986.				Queensland Succulent Society
urn:lsid:biodiversity.org.au:apni.publication:107199	http://biodiversity.org.au/apni.publication/107199	Indian Sci. Congr. Assoc. Proc.. (1981).		(1981)	Indian Sci. Congr. Assoc. Proc.. (1981).				
urn:lsid:biodiversity.org.au:apni.publication:107221	http://biodiversity.org.au/apni.publication/107221	Plantarum Icones hactenus ineditae 2. (1<NR>24 May 1790).		(1<NR>24 May 1790)	Plantarum Icones hactenus ineditae 2. (1<NR>24 May 1790).				
urn:lsid:biodiversity.org.au:apni.publication:107232	http://biodiversity.org.au/apni.publication/107232	Transactions of the Horticultural Society. (1828).		(1828)	Transactions of the Horticultural Society. (1828).				
urn:lsid:biodiversity.org.au:apni.publication:103219	http://biodiversity.org.au/apni.publication/103219	Notes Pt Pridologiques 5. (Dec. 1917).		(Dec. 1917)	Notes Pt Pridologiques 5. (Dec. 1917).				
urn:lsid:biodiversity.org.au:apni.publication:103237	http://biodiversity.org.au/apni.publication/103237	Notes Pt~Pridologiques 5. (Dec. 1917).		(Dec. 1917)	Notes Pt~Pridologiques 5. (Dec. 1917).				
urn:lsid:biodiversity.org.au:apni.publication:103279	http://biodiversity.org.au/apni.publication/103279	Franchet, A.R., Plantae Delavayanae. 1889-1890.		1889-1890	Franchet, A.R., Plantae Delavayanae. 1889-1890.				
urn:lsid:biodiversity.org.au:apni.publication:103538	http://biodiversity.org.au/apni.publication/103538	Die Kulturpflanze 18. (1970).		(1970)	Die Kulturpflanze 18. (1970).				
urn:lsid:biodiversity.org.au:apni.publication:103545	http://biodiversity.org.au/apni.publication/103545	Zinn, J.G., Catalogus Plantarum Horti....Gottingae. (1757).		(1757)	Zinn, J.G., Catalogus Plantarum Horti....Gottingae. (1757).			Cat. pl.hort.Gott	
urn:lsid:biodiversity.org.au:apni.publication:103701	http://biodiversity.org.au/apni.publication/103701	Records of the Albany Museum 2. (1907).		(1907)	Records of the Albany Museum 2. (1907).				
urn:lsid:biodiversity.org.au:apni.publication:103750	http://biodiversity.org.au/apni.publication/103750	Sobolewski, G.F., Flora Petropolitana. 1799.		1799	Sobolewski, G.F., Flora Petropolitana. 1799.				
urn:lsid:biodiversity.org.au:apni.publication:103823	http://biodiversity.org.au/apni.publication/103823	Catalogus quae in Horto Botanico Bogoriensi. (1866).		(1866)	Catalogus quae in Horto Botanico Bogoriensi. (1866).				
urn:lsid:biodiversity.org.au:apni.publication:103849	http://biodiversity.org.au/apni.publication/103849	Moore, C. & Betche, E., Handbook of the Flora of New South Wales. 1893.		1893	Moore, C. & Betche, E., Handbook of the Flora of New South Wales. 1893.			Handb. fl. N.S.W.	
urn:lsid:biodiversity.org.au:apni.publication:103853	http://biodiversity.org.au/apni.publication/103853	Nova Genera, quae super Nonnullis Fici Speciebus. (1844).		(1844)	Nova Genera, quae super Nonnullis Fici Speciebus. (1844).				
urn:lsid:biodiversity.org.au:apni.publication:109730	http://biodiversity.org.au/apni.publication/109730	Meyer, E.H.F. & Drege, J.F., Commentariorum de Plantis Africae Australioris. 1836, 1838.		1836, 1838	Meyer, E.H.F. & Drege, J.F., Commentariorum de Plantis Africae Australioris. 1836, 1838.				
urn:lsid:biodiversity.org.au:apni.publication:109775	http://biodiversity.org.au/apni.publication/109775	Veitch, J.H. & Sons, A Manual of Orchidaceous Plants. Apr. 1887.		Apr. 1887	Veitch, J.H. & Sons, A Manual of Orchidaceous Plants. Apr. 1887.				
urn:lsid:biodiversity.org.au:apni.publication:109783	http://biodiversity.org.au/apni.publication/109783	Unger, J.A.N., Chloris Protogaea. (1843).		(1843)	Unger, J.A.N., Chloris Protogaea. (1843).			Chlor. protogaea	
urn:lsid:biodiversity.org.au:apni.publication:109839	http://biodiversity.org.au/apni.publication/109839	American Orchid Society Bulletin. 1976.		1976	American Orchid Society Bulletin. 1976.				
urn:lsid:biodiversity.org.au:apni.publication:100469	http://biodiversity.org.au/apni.publication/100469	Systema Laurinarum. (30 Oct.<NR>5 Nov. 1836).		(30 Oct.<NR>5 Nov. 1836)	Systema Laurinarum. (30 Oct.<NR>5 Nov. 1836).				
urn:lsid:biodiversity.org.au:apni.publication:108183	http://biodiversity.org.au/apni.publication/108183	Les Liliacees 7. (24 Sep. 1813).		(24 Sep. 1813)	Les Liliacees 7. (24 Sep. 1813).				
urn:lsid:biodiversity.org.au:apni.publication:108887	http://biodiversity.org.au/apni.publication/108887	Nayar, B.K. & Kaur, S., Companion to R.H. Beddome's Handbook to the Ferns of British India, Ceylon and the Malay Peninsula. 1974.		1974	Nayar, B.K. & Kaur, S., Companion to R.H. Beddome's Handbook to the Ferns of British India, Ceylon and the Malay Peninsula. 1974.				
urn:lsid:biodiversity.org.au:apni.publication:101253	http://biodiversity.org.au/apni.publication/101253	Memoires de la Societe d'Histoire Naturelle de Paris. Jun. 1799; 1823-34.		Jun. 1799; 1823-34	Memoires de la Societe d'Histoire Naturelle de Paris. Jun. 1799; 1823-34.			Mem. Soc. Hist.Nat. Paris	
urn:lsid:biodiversity.org.au:apni.publication:101316	http://biodiversity.org.au/apni.publication/101316	Pampas, A Serious New Weed Threat to Tasmania's Forests. May 1988.		May 1988	Pampas, A Serious New Weed Threat to Tasmania's Forests. May 1988.				
urn:lsid:biodiversity.org.au:apni.publication:101330	http://biodiversity.org.au/apni.publication/101330	Univ. Hawaii Occ. Pap. 32. (1937).		(1937)	Univ. Hawaii Occ. Pap. 32. (1937).				
urn:lsid:biodiversity.org.au:apni.publication:101350	http://biodiversity.org.au/apni.publication/101350	Wight, R., Icones Plantarum Indiae Orientalis. [1838-] 1840- 1853.		[1838-] 1840- 1853	Wight, R., Icones Plantarum Indiae Orientalis. [1838-] 1840- 1853.			Icon. pl. Ind. Orient.	
urn:lsid:biodiversity.org.au:apni.publication:101370	http://biodiversity.org.au/apni.publication/101370	University of Hawaii Occasional Papers No. 32. (1 May 1937).		(1 May 1937)	University of Hawaii Occasional Papers No. 32. (1 May 1937).				
urn:lsid:biodiversity.org.au:apni.publication:101408	http://biodiversity.org.au/apni.publication/101408	Linnaeus, C. von, Systema Naturae. 1766-1768.		1766-1768	Linnaeus, C. von, Systema Naturae. 1766-1768.				
urn:lsid:biodiversity.org.au:apni.publication:101489	http://biodiversity.org.au/apni.publication/101489	Wight, R., Illustrations of Indian Botany. 1831 [-1832].		1831 [-1832]	Wight, R., Illustrations of Indian Botany. 1831 [-1832].			Ill. Ind. bot.	
urn:lsid:biodiversity.org.au:apni.publication:104205	http://biodiversity.org.au/apni.publication/104205	Asiatic Researches. 1788-1839.		1788-1839	Asiatic Researches. 1788-1839.				
urn:lsid:biodiversity.org.au:apni.publication:104234	http://biodiversity.org.au/apni.publication/104234	Mettenius, G., Uber Einige Farngattungen. 1857-1859.		1857-1859	Mettenius, G., Uber Einige Farngattungen. 1857-1859.			Farngatt.	Druck und Verlag von Heinrich Ludwig Bronner
urn:lsid:biodiversity.org.au:apni.publication:104357	http://biodiversity.org.au/apni.publication/104357	Clifford, H.T. & Constantine, J., Ferns, Fern Allies and Conifers of Australia. 1980.		1980	Clifford, H.T. & Constantine, J., Ferns, Fern Allies and Conifers of Australia. 1980.				University of Queensland Press
urn:lsid:biodiversity.org.au:apni.publication:104368	http://biodiversity.org.au/apni.publication/104368	Illustrations of Indian Botany 2. (1841<NR>1850).		(1841<NR>1850)	Illustrations of Indian Botany 2. (1841<NR>1850).				
urn:lsid:biodiversity.org.au:apni.publication:104538	http://biodiversity.org.au/apni.publication/104538	Nuystia 8(3). (1992).		(1992)	Nuystia 8(3). (1992).				
urn:lsid:biodiversity.org.au:apni.publication:104592	http://biodiversity.org.au/apni.publication/104592	Anon., Catalogue of the Natural and Industrial Products of Queensland. 1862-1873.		1862-1873	Anon., Catalogue of the Natural and Industrial Products of Queensland. 1862-1873.				
urn:lsid:biodiversity.org.au:apni.publication:104600	http://biodiversity.org.au/apni.publication/104600	Hoffmannsegg, J.C.G. von, Verzeichniss der Pflanzenkulturen in den Gr~uflich Hoffmannseggischen Garten zu Dresden und Rammenau. 1824.		1824	Hoffmannsegg, J.C.G. von, Verzeichniss der Pflanzenkulturen in den Gr~uflich Hoffmannseggischen Garten zu Dresden und Rammenau. 1824.				In Commission der Arnoldischen Buchhandlung
urn:lsid:biodiversity.org.au:apni.publication:104616	http://biodiversity.org.au/apni.publication/104616	Wissenschaftliche Ergebnisse der Schwedischen Rhodesia-Kongo-Expedition 1911<NR>1912 1 [Botanische Untersuchungen]. (1914).		(1914)	Wissenschaftliche Ergebnisse der Schwedischen Rhodesia-Kongo-Expedition 1911<NR>1912 1 [Botanische Untersuchungen]. (1914).				
urn:lsid:biodiversity.org.au:apni.publication:104660	http://biodiversity.org.au/apni.publication/104660	Annals of Botany (London). 1887/1888-1936.		1887/1888-1936	Annals of Botany (London). 1887/1888-1936.				
urn:lsid:biodiversity.org.au:apni.publication:104719	http://biodiversity.org.au/apni.publication/104719	Garcia de Orta. (1957).		(1957)	Garcia de Orta. (1957).				
urn:lsid:biodiversity.org.au:apni.publication:107317	http://biodiversity.org.au/apni.publication/107317	Lindley, J. & Paxton, J., Paxton's Flower Garden. (1851).		(1851)	Lindley, J. & Paxton, J., Paxton's Flower Garden. (1851).				Bradbury & Evans
urn:lsid:biodiversity.org.au:apni.publication:109206	http://biodiversity.org.au/apni.publication/109206	Thomson, G.M., The Ferns and Fern Allies of New Zealand. 1882.		1882	Thomson, G.M., The Ferns and Fern Allies of New Zealand. 1882.				
urn:lsid:biodiversity.org.au:apni.publication:109210	http://biodiversity.org.au/apni.publication/109210	Schrank, F. de P. de, Plantae Rariores Horti Academici Monacensis. (1817-1822).		(1817-1822)	Schrank, F. de P. de, Plantae Rariores Horti Academici Monacensis. (1817-1822).				
urn:lsid:biodiversity.org.au:apni.publication:109312	http://biodiversity.org.au/apni.publication/109312	Botanische und Zoologische Ergebnisse einer Wissenschaftlichen Forschunsreise nach den Samoinseln, dem NeuGuinea-Archipel und den Salomonsinseln 3. (1910).		(1910)	Botanische und Zoologische Ergebnisse einer Wissenschaftlichen Forschunsreise nach den Samoinseln, dem NeuGuinea-Archipel und den Salomonsinseln 3. (1910).				
urn:lsid:biodiversity.org.au:apni.publication:109523	http://biodiversity.org.au/apni.publication/109523	Annales du Museum National d'Histoire Naturelle. 1802-1813; 1827.		1802-1813; 1827	Annales du Museum National d'Histoire Naturelle. 1802-1813; 1827.				
urn:lsid:biodiversity.org.au:apni.publication:109524	http://biodiversity.org.au/apni.publication/109524	Voy. Terres Austral. 4. (1824).		(1824)	Voy. Terres Austral. 4. (1824).				
urn:lsid:biodiversity.org.au:apni.publication:109616	http://biodiversity.org.au/apni.publication/109616	Quarterly Journal of the Taiwan Museum. 1948-1982.		1948-1982	Quarterly Journal of the Taiwan Museum. 1948-1982.				
urn:lsid:biodiversity.org.au:apni.publication:109618	http://biodiversity.org.au/apni.publication/109618	Voyage. (1790).		(1790)	Voyage. (1790).				
urn:lsid:biodiversity.org.au:apni.publication:109623	http://biodiversity.org.au/apni.publication/109623	Leighton, W.A., A Flora of Shropshire. (1841).		(1841)	Leighton, W.A., A Flora of Shropshire. (1841).				
urn:lsid:biodiversity.org.au:apni.publication:109632	http://biodiversity.org.au/apni.publication/109632	Bieberstein, F.A. Marschall von, Flora Taurico-Caucasica. 1808-1819.		1808-1819	Bieberstein, F.A. Marschall von, Flora Taurico-Caucasica. 1808-1819.				
urn:lsid:biodiversity.org.au:apni.publication:109653	http://biodiversity.org.au/apni.publication/109653	Rupp, H.M.R., The Orchids of New South Wales. late Jan. 1944.		late Jan. 1944	Rupp, H.M.R., The Orchids of New South Wales. late Jan. 1944.				National Herbarium
urn:lsid:biodiversity.org.au:apni.publication:109692	http://biodiversity.org.au/apni.publication/109692	The Orchid Album. 1888.		1888	The Orchid Album. 1888.				
urn:lsid:biodiversity.org.au:apni.publication:109717	http://biodiversity.org.au/apni.publication/109717	New South Wales Parliament,  Legislative  Assembly.  Votes and Proceedings. (2 May 1859).		(2 May 1859)	New South Wales Parliament,  Legislative  Assembly.  Votes and Proceedings. (2 May 1859).				
urn:lsid:biodiversity.org.au:apni.publication:107332	http://biodiversity.org.au/apni.publication/107332	Saint-Hilaire, A.F.C.P. de, Flora Brasiliae Meridionalis. 1825-1833.		1825-1833	Saint-Hilaire, A.F.C.P. de, Flora Brasiliae Meridionalis. 1825-1833.		fol.		
urn:lsid:biodiversity.org.au:apni.publication:107333	http://biodiversity.org.au/apni.publication/107333	ed. quarto. (18 Jul. 1827).		(18 Jul. 1827)	ed. quarto. (18 Jul. 1827).				
urn:lsid:biodiversity.org.au:apni.publication:107334	http://biodiversity.org.au/apni.publication/107334	Nat. Hist. Pl. 4. (1875).		(1875)	Nat. Hist. Pl. 4. (1875).				
urn:lsid:biodiversity.org.au:apni.publication:107353	http://biodiversity.org.au/apni.publication/107353	The Grasses of Burma, Ceylon, India & Pakistan. (1960).		(1960)	The Grasses of Burma, Ceylon, India & Pakistan. (1960).				
urn:lsid:biodiversity.org.au:apni.publication:107410	http://biodiversity.org.au/apni.publication/107410	Sci. Surv. Porto Rico 5. (1923).		(1923)	Sci. Surv. Porto Rico 5. (1923).				
urn:lsid:biodiversity.org.au:apni.publication:107441	http://biodiversity.org.au/apni.publication/107441	The Genera of Amaryllidaceae ed. 1. (1963).		(1963)	The Genera of Amaryllidaceae ed. 1. (1963).				
urn:lsid:biodiversity.org.au:apni.publication:107507	http://biodiversity.org.au/apni.publication/107507	Britton, N.L. & Brown, A., An Illustrated Flora of the Northern United States, Canada. 1896-1898 [1913].		1896-1898 [1913]	Britton, N.L. & Brown, A., An Illustrated Flora of the Northern United States, Canada. 1896-1898 [1913].			Ill. Fl. n.U.S.	
urn:lsid:biodiversity.org.au:apni.publication:107513	http://biodiversity.org.au/apni.publication/107513	Herbert, W., Amaryllidaceae. Apr. 1837.		Apr. 1837	Herbert, W., Amaryllidaceae. Apr. 1837.			Amaryllidaceae	
urn:lsid:biodiversity.org.au:apni.publication:107585	http://biodiversity.org.au/apni.publication/107585	Reise durch verschiedene Provinzen des Russischen Reichs 2. (1773).		(1773)	Reise durch verschiedene Provinzen des Russischen Reichs 2. (1773).				
urn:lsid:biodiversity.org.au:apni.publication:107797	http://biodiversity.org.au/apni.publication/107797	Hortus Cantabridgiensis. (1811).		(1811)	Hortus Cantabridgiensis. (1811).				
urn:lsid:biodiversity.org.au:apni.publication:107861	http://biodiversity.org.au/apni.publication/107861	News of Literature and Fashion 2. (28 May 1825).		(28 May 1825)	News of Literature and Fashion 2. (28 May 1825).				
urn:lsid:biodiversity.org.au:apni.publication:100070	http://biodiversity.org.au/apni.publication/100070	Darwin, C., Insectivorous Plants. (1876).		(1876)	Darwin, C., Insectivorous Plants. (1876).				
urn:lsid:biodiversity.org.au:apni.publication:100086	http://biodiversity.org.au/apni.publication/100086	Notes sur quelques Plantes Critiques, Rares ou Nouvelles. (Jun. 1851).		(Jun. 1851)	Notes sur quelques Plantes Critiques, Rares ou Nouvelles. (Jun. 1851).				
urn:lsid:biodiversity.org.au:apni.publication:106859	http://biodiversity.org.au/apni.publication/106859	Monodelphiae classis Dissertationes decem. 2. (Jan.<NR>Apr. 1786).		(Jan.<NR>Apr. 1786)	Monodelphiae classis Dissertationes decem. 2. (Jan.<NR>Apr. 1786).				
urn:lsid:biodiversity.org.au:apni.publication:106918	http://biodiversity.org.au/apni.publication/106918	United States Department of Agriculture. Bulletin. No. 772. (1920).		(1920)	United States Department of Agriculture. Bulletin. No. 772. (1920).				
urn:lsid:biodiversity.org.au:apni.publication:106924	http://biodiversity.org.au/apni.publication/106924	The Botanical Register 21. (1 Jul. 1835).		(1 Jul. 1835)	The Botanical Register 21. (1 Jul. 1835).				
urn:lsid:biodiversity.org.au:apni.publication:106971	http://biodiversity.org.au/apni.publication/106971	Bulletin de la Societe Linneene de Normandie. 1855/56-64/66.		1855/56-64/66	Bulletin de la Societe Linneene de Normandie. 1855/56-64/66.			Bull.Soc.Linn.Normandie	
urn:lsid:biodiversity.org.au:apni.publication:107033	http://biodiversity.org.au/apni.publication/107033	Howell, T.J., A Flora of Northwest America. (15 Mar. 1897).		(15 Mar. 1897)	Howell, T.J., A Flora of Northwest America. (15 Mar. 1897).				
urn:lsid:biodiversity.org.au:apni.publication:103925	http://biodiversity.org.au/apni.publication/103925	Lindley, J., Folia Orchidaceae. 1852-1855 [1859].		1852-1855 [1859]	Lindley, J., Folia Orchidaceae. 1852-1855 [1859].			Folia orchid.	
urn:lsid:biodiversity.org.au:apni.publication:104012	http://biodiversity.org.au/apni.publication/104012	The Standard Cyclopedia of Horticulture ed. 2, 3. (1917).		(1917)	The Standard Cyclopedia of Horticulture ed. 2, 3. (1917).				
urn:lsid:biodiversity.org.au:apni.publication:101883	http://biodiversity.org.au/apni.publication/101883	Scopoli, J.A. [G.A.], Deliciae Florae et Faunae Insubricae. 1786 [-1788].		1786 [-1788]	Scopoli, J.A. [G.A.], Deliciae Florae et Faunae Insubricae. 1786 [-1788].			Delic. fl.faun.insubr.	
urn:lsid:biodiversity.org.au:apni.publication:101885	http://biodiversity.org.au/apni.publication/101885	Turra, A., Farsetia. (Sep. 1765).		(Sep. 1765)	Turra, A., Farsetia. (Sep. 1765).				
urn:lsid:biodiversity.org.au:apni.publication:101968	http://biodiversity.org.au/apni.publication/101968	Botanisk Tidsskrift. 1880-.		1880-	Botanisk Tidsskrift. 1880-.			Bot. Tidsskr	
urn:lsid:biodiversity.org.au:apni.publication:100596	http://biodiversity.org.au/apni.publication/100596	Oliver, D.D., Thiselton, W.T., Prain, D. & Hill, A.W., Flora of Tropical Africa. 1868-1937.		1868-1937	Oliver, D.D., Thiselton, W.T., Prain, D. & Hill, A.W., Flora of Tropical Africa. 1868-1937.				
urn:lsid:biodiversity.org.au:apni.publication:100698	http://biodiversity.org.au/apni.publication/100698	Flore Agrostologique du Congo Belge et du Ruanda-Urundi. Sep.-Dec. 1929.		Sep.-Dec. 1929	Flore Agrostologique du Congo Belge et du Ruanda-Urundi. Sep.-Dec. 1929.				
urn:lsid:biodiversity.org.au:apni.publication:101542	http://biodiversity.org.au/apni.publication/101542	Plantae Javanicae Rariores 1. (Jul. 1838).		(Jul. 1838)	Plantae Javanicae Rariores 1. (Jul. 1838).				
urn:lsid:biodiversity.org.au:apni.publication:102673	http://biodiversity.org.au/apni.publication/102673	A Manual of the Flowering Plants of California. (14 Apr. 1925).		(14 Apr. 1925)	A Manual of the Flowering Plants of California. (14 Apr. 1925).				
urn:lsid:biodiversity.org.au:apni.publication:105914	http://biodiversity.org.au/apni.publication/105914	Bergius, P.J., Descriptiones Plantarum ex Capite Bonae Spei. 1767.		1767	Bergius, P.J., Descriptiones Plantarum ex Capite Bonae Spei. 1767.			Descr.Pl. Cap.	
urn:lsid:biodiversity.org.au:apni.publication:106575	http://biodiversity.org.au/apni.publication/106575	Druce, G.C., Botanical Exchange Club of the British Isles. (Jun. 1913-).		(Jun. 1913-)	Druce, G.C., Botanical Exchange Club of the British Isles. (Jun. 1913-).				
urn:lsid:biodiversity.org.au:apni.publication:106704	http://biodiversity.org.au/apni.publication/106704	Plantarum Brasiliae Icones et Descriptiones 1. (Aug. 1826).		(Aug. 1826)	Plantarum Brasiliae Icones et Descriptiones 1. (Aug. 1826).				
urn:lsid:biodiversity.org.au:apni.publication:106873	http://biodiversity.org.au/apni.publication/106873	Smith, J.E., Compendium Florae Britannicae. (1800-1829).		(1800-1829)	Smith, J.E., Compendium Florae Britannicae. (1800-1829).				
urn:lsid:biodiversity.org.au:apni.publication:108709	http://biodiversity.org.au/apni.publication/108709	Fee, A.L.A., Memoires sur les Familles des Fourgeres. 1844-1866.		1844-1866	Fee, A.L.A., Memoires sur les Familles des Fourgeres. 1844-1866.			Mem. foug.	
urn:lsid:biodiversity.org.au:apni.publication:108794	http://biodiversity.org.au/apni.publication/108794	Plantae Diaphoricae Florae Argentinae. (Dec. 1882).		(Dec. 1882)	Plantae Diaphoricae Florae Argentinae. (Dec. 1882).				
urn:lsid:biodiversity.org.au:apni.publication:108820	http://biodiversity.org.au/apni.publication/108820	Royal Horticultural Society Dictionary of Gardening. (1951).		(1951)	Royal Horticultural Society Dictionary of Gardening. (1951).				
urn:lsid:biodiversity.org.au:apni.publication:108842	http://biodiversity.org.au/apni.publication/108842	Probst, R., Mitteilungen der Naturforschenden Gesellschaft in Solothurm 20(8). (1928).		(1928)	Probst, R., Mitteilungen der Naturforschenden Gesellschaft in Solothurm 20(8). (1928).				
urn:lsid:biodiversity.org.au:apni.publication:108868	http://biodiversity.org.au/apni.publication/108868	Commentarius de Itinere Neapolitano. (1837).		(1837)	Commentarius de Itinere Neapolitano. (1837).				
urn:lsid:biodiversity.org.au:apni.publication:108955	http://biodiversity.org.au/apni.publication/108955	Stud. Citrol. 3. (1929).		(1929)	Stud. Citrol. 3. (1929).				
urn:lsid:biodiversity.org.au:apni.publication:108985	http://biodiversity.org.au/apni.publication/108985	The Sydney Mail ser. 2, 14. 21 Sep. 1872.		21 Sep. 1872	The Sydney Mail ser. 2, 14. 21 Sep. 1872.				
urn:lsid:biodiversity.org.au:apni.publication:109002	http://biodiversity.org.au/apni.publication/109002	The Sydney Morning Herald 74(12013). 18 Nov. 1876.		18 Nov. 1876	The Sydney Morning Herald 74(12013). 18 Nov. 1876.				
urn:lsid:biodiversity.org.au:apni.publication:109032	http://biodiversity.org.au/apni.publication/109032	The Leader No. 1468. (9 Feb. 1884).		(9 Feb. 1884)	The Leader No. 1468. (9 Feb. 1884).				
urn:lsid:biodiversity.org.au:apni.publication:109091	http://biodiversity.org.au/apni.publication/109091	Schweinfurth, G.A., Vorlaufige Aufzahlung der wahrend der Expedition (zum Rudolph-See und Stephanie-See von L.v. Hohnel) gesammelten Pflanzen hoherer ordnung. (1892).		(1892)	Schweinfurth, G.A., Vorlaufige Aufzahlung der wahrend der Expedition (zum Rudolph-See und Stephanie-See von L.v. Hohnel) gesammelten Pflanzen hoherer ordnung. (1892).				
urn:lsid:biodiversity.org.au:apni.publication:109093	http://biodiversity.org.au/apni.publication/109093	Bulletin Mensuel de la Societe Linneenne de Paris. 1874-1899.		1874-1899	Bulletin Mensuel de la Societe Linneenne de Paris. 1874-1899.			Bull. Mens. Soc. Linn. Paris	
urn:lsid:biodiversity.org.au:apni.publication:109128	http://biodiversity.org.au/apni.publication/109128	The Sydney Morning Herald No. 12,941. 24 Sep. 1879.		24 Sep. 1879	The Sydney Morning Herald No. 12,941. 24 Sep. 1879.				
urn:lsid:biodiversity.org.au:apni.publication:106263	http://biodiversity.org.au/apni.publication/106263	Presl, K.B., Repertorium Botanicae Systematicae. 1833-1834.		1833-1834	Presl, K.B., Repertorium Botanicae Systematicae. 1833-1834.			Repert. bot. syst.	
urn:lsid:biodiversity.org.au:apni.publication:106368	http://biodiversity.org.au/apni.publication/106368	Rainforest Trees of Australia ed. 2. (1951).		(1951)	Rainforest Trees of Australia ed. 2. (1951).				
urn:lsid:biodiversity.org.au:apni.publication:106415	http://biodiversity.org.au/apni.publication/106415	Dombrain, H.H., The Floral Magazine. 1865.		1865	Dombrain, H.H., The Floral Magazine. 1865.				Lovell Reeve & Co.
