LSID	URI	Title	Year	Date Published	Citation	ContainedIn	Edition	ShortTitle	Publisher
urn:lsid:biodiversity.org.au:apni.publication:182772	http://biodiversity.org.au/apni.publication/182772	Allgemeine Literatur-Zeitung. 1804-1849.		1804-1849	Allgemeine Literatur-Zeitung. 1804-1849.			Allg. Lit.-Zeitung (Halle & Leipzig)	
urn:lsid:biodiversity.org.au:apni.publication:182773	http://biodiversity.org.au/apni.publication/182773	Raddi, G., Crittogame Brasiliane. 1822.		1822	Raddi, G., Crittogame Brasiliane. 1822.				
urn:lsid:biodiversity.org.au:apni.publication:182775	http://biodiversity.org.au/apni.publication/182775	Systematics and Biodiversity. 2003-.		2003-	Systematics and Biodiversity. 2003-.				
urn:lsid:biodiversity.org.au:apni.publication:182776	http://biodiversity.org.au/apni.publication/182776	Biological Journal of the Linnean Society. 1969-.		1969-	Biological Journal of the Linnean Society. 1969-.				
urn:lsid:biodiversity.org.au:apni.publication:182777	http://biodiversity.org.au/apni.publication/182777	Corrick, M.G. & Fuhrer, B.A., Wildflowers of Victoria. 2000.		2000	Corrick, M.G. & Fuhrer, B.A., Wildflowers of Victoria. 2000.				
urn:lsid:biodiversity.org.au:apni.publication:182778	http://biodiversity.org.au/apni.publication/182778	Ohwi, J., Flora of Japan. 1965.		1965	Ohwi, J., Flora of Japan. 1965.				Smithsonian Institution
urn:lsid:biodiversity.org.au:apni.publication:182780	http://biodiversity.org.au/apni.publication/182780	Huang, T.-C., Pollen Flora of Taiwan. 1972.		1972	Huang, T.-C., Pollen Flora of Taiwan. 1972.				National Taiwan University Botany Department Press
urn:lsid:biodiversity.org.au:apni.publication:182781	http://biodiversity.org.au/apni.publication/182781	Veitch, H.J., Catalogue of New and Beautiful Plants. 1869.		1869	Veitch, H.J., Catalogue of New and Beautiful Plants. 1869.				
urn:lsid:biodiversity.org.au:apni.publication:182782	http://biodiversity.org.au/apni.publication/182782	ACRA, List of Registered Cultivars derived from Australian native flora. June 2000-.		June 2000-	ACRA, List of Registered Cultivars derived from Australian native flora. June 2000-.				
urn:lsid:biodiversity.org.au:apni.publication:182783	http://biodiversity.org.au/apni.publication/182783	Fontqueria. 1982-2000.		1982-2000	Fontqueria. 1982-2000.				
urn:lsid:biodiversity.org.au:apni.publication:182784	http://biodiversity.org.au/apni.publication/182784	Plant Diversity and Evolution. 2010-.		2010-	Plant Diversity and Evolution. 2010-.				
urn:lsid:biodiversity.org.au:apni.publication:182785	http://biodiversity.org.au/apni.publication/182785	Jacquin, N.J. von, Oxalis. 1794.		1794	Jacquin, N.J. von, Oxalis. 1794.				
urn:lsid:biodiversity.org.au:apni.publication:182786	http://biodiversity.org.au/apni.publication/182786	Boletim do Museu Municipal do Funchal. 1945-.		1945-	Boletim do Museu Municipal do Funchal. 1945-.				
urn:lsid:biodiversity.org.au:apni.publication:182787	http://biodiversity.org.au/apni.publication/182787	Godron, D.A., Florula juvenalis. 1853.		1853	Godron, D.A., Florula juvenalis. 1853.				
urn:lsid:biodiversity.org.au:apni.publication:182788	http://biodiversity.org.au/apni.publication/182788	Miquel, F.A.W., Sumatra, zijne plantenwereld en hare voortbrengselen. 1862.		1862	Miquel, F.A.W., Sumatra, zijne plantenwereld en hare voortbrengselen. 1862.				C.G. van der Post
urn:lsid:biodiversity.org.au:apni.publication:182789	http://biodiversity.org.au/apni.publication/182789	Kongliga Svenska Vetenskaps Academiens handlingar. 1858-1924.		1858-1924	Kongliga Svenska Vetenskaps Academiens handlingar. 1858-1924.			Kongl. Svenska Vetensk. Acad. Handl.	
urn:lsid:biodiversity.org.au:apni.publication:180903	http://biodiversity.org.au/apni.publication/180903	Grieve, B.J. & Blackall, W.E., How to know Western Australian wildflowers: a key to the flora of the extratropical regions of Western Australia. 1982.		1982	Grieve, B.J. & Blackall, W.E., How to know Western Australian wildflowers: a key to the flora of the extratropical regions of Western Australia. 1982.				University of Western Australia Press
